homesalecount,avgsaleprice,medsaleprice,GeoID
1070,148567.0,140000.0,ZI63123
1102,253527.0,225000.0,ZI63021
333,57746.0,40000.0,ZI63137
205,58244.0,45818.0,ZI63134
753,278275.0,222500.0,ZI63119
194,198241.0,149900.0,ZI63044
763,380517.0,330000.0,ZI63017
318,585921.0,559000.0,ZI63005
275,593322.0,471000.0,ZI63105
753,278275.0,222500.0,ZI63119
272,212252.0,192750.0,ZI63126
401,440742.0,349900.0,ZI63141
615,267929.0,231000.0,ZI63130
245,295301.0,280000.0,ZI63025
384,260313.0,216500.0,ZI63026
333,72117.0,49985.0,ZI63135
1198,90993.0,82000.0,ZI63031
847,107062.0,90000.0,ZI63033
194,198241.0,149900.0,ZI63044
459,54405.0,38964.0,ZI63136
205,58244.0,45818.0,ZI63134
961,326569.0,270000.0,ZI63122
225,880292.0,725000.0,ZI63124
735,115638.0,114900.0,ZI63125
184,186493.0,151750.0,ZI63143
412,199839.0,150000.0,ZI63043
237,76095.0,49500.0,ZI63121
129,414158.0,398000.0,ZI63038
615,267929.0,231000.0,ZI63130
