homesalecount,avgsaleprice,medsaleprice,GeoID
891,142596.0,121500.0,ZI63123
915,219636.0,190000.0,ZI63021
255,58157.0,43000.0,ZI63137
186,49166.0,42250.0,ZI63134
699,223816.0,182500.0,ZI63119
192,126675.0,124250.0,ZI63044
660,341195.0,299950.0,ZI63017
308,598256.0,539950.0,ZI63005
315,571208.0,448500.0,ZI63105
699,223816.0,182500.0,ZI63119
261,171605.0,160000.0,ZI63126
329,376807.0,277305.0,ZI63141
479,237563.0,206000.0,ZI63130
224,240157.0,209362.0,ZI63025
328,223591.0,190750.0,ZI63026
308,64160.0,45028.0,ZI63135
913,80285.0,67000.0,ZI63031
734,76513.0,69950.0,ZI63033
192,126675.0,124250.0,ZI63044
417,54134.0,44500.0,ZI63136
186,49166.0,42250.0,ZI63134
766,288520.0,235000.0,ZI63122
233,858454.0,668300.0,ZI63124
578,97080.0,91000.0,ZI63125
175,132833.0,115000.0,ZI63143
360,130176.0,124770.0,ZI63043
207,115297.0,50000.0,ZI63121
102,400392.0,373500.0,ZI63038
479,237563.0,206000.0,ZI63130
