homesalecount,avgsaleprice,medsaleprice,GeoID
1215,144077.0,133000.0,ZI63123
1254,244232.0,220000.0,ZI63021
297,52524.0,39500.0,ZI63137
196,59096.0,39300.0,ZI63134
831,260306.0,215000.0,ZI63119
223,140581.0,146000.0,ZI63044
802,367758.0,334900.0,ZI63017
339,567481.0,510000.0,ZI63005
390,579127.0,453750.0,ZI63105
831,260306.0,215000.0,ZI63119
301,200602.0,186000.0,ZI63126
449,468825.0,352000.0,ZI63141
643,244414.0,197501.0,ZI63130
269,284987.0,250000.0,ZI63025
422,233306.0,198450.0,ZI63026
340,65496.0,46175.0,ZI63135
1231,87236.0,75000.0,ZI63031
917,83818.0,76000.0,ZI63033
223,140581.0,146000.0,ZI63044
403,52066.0,42000.0,ZI63136
196,59096.0,39300.0,ZI63134
966,315721.0,266500.0,ZI63122
236,774397.0,700000.0,ZI63124
750,108790.0,101310.0,ZI63125
241,146474.0,130000.0,ZI63143
456,147284.0,140000.0,ZI63043
239,104395.0,50000.0,ZI63121
154,376624.0,370250.0,ZI63038
643,244414.0,197501.0,ZI63130
